标题,输出图片 (Output),输入说明 (Input),提示词 (Prompt)
现代美术展览空间,nano137.jpg,** 需上传一张参考图像,"一个以参考图像为主题的前卫当代艺术展览空间。
整个展厅（20.0 米 x 20.0 米 x 8.0 米）将建筑、灯光、地板、墙面和天花板融入到艺术作品的表达中。

展厅最深处矗立着一面宽 20 米、高 8 米的大型墙体，墙体中央以巨大的艺术形式展现着参考图像中的主题。图像清晰立体，向观者升起，成为整个空间的焦点。

一块由系统生成的展览标题牌将被安装在墙体中央下方。标题必须抽象、象征且富有诗意，并且必须是当代艺术作品。展览不设价格显示。

地板采用反射率为 0.35 至 0.40 的抛光花岗岩。源自参考图像的图案和光线层层叠叠地铺于作品表面，与整个空间产生共鸣，仿佛在回应参观者的脚步。触觉铺路砖颜色相近，浑然一体，但高度仅为5毫米，触感清晰。作品从入口沿直线延伸至大墙，并在作品前形成一个停顿点。观展结束后，参观者自然而然地被引导至右侧的开口（3米宽 x 3米高）。在紧急情况下，地面应急照明可确保1勒克斯的照度。

左右两侧的墙壁和天花板分别以不同的方式诠释了参考图像中某个元素的抽象版本，使作品本身成为一件艺术品。色彩、形态和光线的流动将整个空间统一为一次艺术体验。

参观人数限制为8至25人。所有参观者面向大墙，沿着直线移动，并在停顿点停下。没有人回头看向入口。仅一名工作人员驻守在大墙右侧入口附近。所有面部均经过模糊处理，以保证匿名性。

构图稳定，中心消失点始终位于大墙中心。垂直度在±0.5°以内。地板反射精准，人体自然。双手始终为五指，双眼对称，偏差在3%以内。织物保持平直，无任何变形。

禁止内容：与参考图像无关的元素、缺失或破损的触觉铺路、面向入口的访客、徽标或水印、过度拥挤、玩具般的光泽、2D平板投影、霓虹灯辉光、青橙色调、过饱和、透视崩溃、反射不匹配、解剖异常、多余的肢体、扭曲的面部、过多的轮廓、条纹、晕影。

DoD：整个场馆将是一个围绕参考图像主题的当代艺术作品，整个空间以最内部的结构为中心，形成统一的体验。触觉铺装与光线流动完美同步，形成清晰的停留点。观众将沉浸在空间本身之中，即使在重现过程中，SSIM 也将稳定在 0.95 或以上。"
暗黑哥特塔罗牌,nano138.jpg,** 需上传一张参考图像,根据这张图片，生成一张以我为主角的暗黑哥特式塔罗牌。包含[“AI 艺术家 - Shira”]和[咖啡、系着粉色蝴蝶结的白色蓬松胖猫、笔记本电脑、手机、耳机]作为符号，并搭配忧郁的阴影、精致的哥特式边框和神秘的暗黑奇幻氛围。
黑白进化图,nano139.jpg,无,生成 进化的行进 图，极简黑白风格，从最早的猿猴逐渐进化为人再进化为最后的 香蕉
玻璃瓶纪念品,nano140.jpg,** 需上传一张参考图像,1/7比例的商品化收藏级人偶，以照片中人物为原型，高度写实的风格打造。人偶置于细致的沙滩环境中，沙滩、贝壳和轻柔的海浪交织在一起。整个玩具展示架被封装在一个透明的纪念品玻璃瓶中，使其呈现出高端的微缩立体模型效果，并拥有逼真的光影效果。
微型商店,nano141.jpg,无,[品牌] 的微型立体模型店。屋顶由超大的 [产品] 制成，窗户上方是巨大的 [品牌] 标识，摊主正在向顾客递上 [产品]，地面上覆盖着许多 [产品]。手工软陶造型，摄影棚微距照片，柔和的光线，浅景深，竖屏 3:4
成为Vtuber,nano142.jpg,** 需上传一张参考图像,"使用原图创建一个虚拟的Vtuber及其直播画面。
Vtuber的发型和服装将忠实还原原图。
Vtuber的画面为2.5D画质，无需完美还原原图风格，但需要适度的立体感。
Vtuber的表情和姿势可以与原图有所差异。请让Vtuber手持游戏手柄。
仅将Vtuber的上半身放置在屏幕右下方。将正在游玩的游戏直播画面放置在屏幕中央。将聊天画面放置在屏幕左侧。
游戏画面的屏幕比例设置为较大，Vtuber的上半身显示较小。
完全忽略原图的背景和姿势。
在屏幕的上下添加虚拟的直播平台和浏览器UI。
生成图像的纵横比与原始图像的纵横比无关。"
车站电影海报,nano143.jpg,** 需上传一张参考图像,"使用原图制作电影海报。电影类型将根据原图的氛围确定。
无论原图是动画还是真人版，原图的风格和角色设计都将尽可能完美地保留。但姿势和表情可能会根据海报设计进行调整。此外，还可能添加其他人物和物体。
最终生成的图像将具有照片级真实感。但海报设计除外，因为它将基于原图进行制作。
海报所贴日本车站地下通道的场景将以逼真的图像进行重现，并添加穿过地下通道的人物。
海报的反射角度经过调整，使其看起来更加逼真。"
电影休息室,nano144.jpg,** 需上传一张参考图像,"插画处理：
背景被去除，角色被转化为手办和周边商品。

主题 / 概述：
一个逼真的电影院休息区。特别活动主题空间，设在爆米花摊位内，并装饰着角色的世界元素。

地点：
一个宽敞的电影院爆米花摊。
有一个收银台，内部有爆米花机。
有一个饮料柜台，柜台后有售货员。
收银台上方贴满了正在上映电影的海报。

角色 / 陈列：
角色扮演者被放置在画面中心。
手办和亚克力立牌等商品陈列在货架上。
巨型毛绒玩具和招牌逼真展示。
设置了电影主题拍照亭，并装饰有角色设计元素。

角色反映的地方：
当前上映的电影海报。
联动菜单的弹出广告。
饮料杯和包装。
爆米花桶。
大型 LED LCD 屏。

设计 / 宣传：
角色插画反映在休息区的每个海报上。
展示联动食品和饮料的生动视觉效果。
动画和角色影像投射到 LED 屏上。

摄影角度：
正面构图。
强调整个爆米花摊。
角色扮演者置于中心，周围有商品和广告反映。
略微低角度拍摄，突显 LED 屏和海报。

画质 / 氛围：
逼真且细致。
都市真实光泽感，营造电影院般的氛围和活动感。
分辨率 4K，长宽比 4:3。"
 切割带有卡通爆炸效果的物体,nano145.jpg,无,"将 [OBJECT] 从中间干净利落地切开，上下两半略微分离并悬浮。
在两半之间，不是自然的内部，而是一个风格化的卡通核爆效果：中心有一根垂直的发光黄橙色气泡烟柱，水平上有一圈宽阔的圆形气泡云冲击波向两侧扩散，冲击波上下带有炽热发光的高光，营造出强烈的热量和能量感。
[OBJECT] 的外部保持逼真的材质和光照细节，而内部效果高度夸张卡通，形成现实与卡通的强烈对比。工作室灯光，中置构图。"
 卡通人物主题火车,nano146.jpg,** 需上传一张参考图像,"插画处理：
背景被擦除，角色被转化为手办和周边商品。

主题 / 概述：
逼真的东京列车内部。整个车厢布置了角色广告和周边商品，打造一个专门为联动活动定制的特殊空间。

角色 / 陈列：
几名角色扮演者站在画面前景。
等身板和等身手办展示在列车中部和后部。
100cm 高的角色手办陈列其中。
许多角色毛绒玩具排放在空座位上。

广告 / 展示：
角色插画反映在车厢吊环广告上。
角色插画展示在列车内部的海报广告上。
额外安装的 LED 屏上展示角色插画和动画。

插画处理细节：
背景被擦除，角色转化为手办和周边商品。
近等身手办、100cm 手办、Q版手办和毛绒玩具被逼真描绘。

摄影角度：
正面构图，突出列车内部的繁忙氛围。
前景为角色扮演者的全景镜头，背景为手办、展示板和毛绒玩具。
低角度拍摄，突出吊环广告和 LED 屏。

画质 / 氛围：
逼真且细致。
都市真实光泽感。
分辨率 4K，长宽比 4:3。"
 自定义主题公园,nano147.jpg,** 需上传一张参考图像,"生成一张基于原图的逼真主题公园图像。
主题公园及其游玩的人物需以极其逼真的风格呈现。白天，阳光明媚。
色彩方案和设计从原图中提取，并应用于各种设施的色彩和设计上。
图像中摆放的元素包括：根据原图设计的车辆和建筑、以原图为基础适度夸张的吉祥物服装、印有原图的标牌。
吉祥物服装设计应以原图为元素，但适度变形以呈现逼真效果。
人物和吉祥物服装的尺寸必须合理，不得不符合实际比例。
即使原图是动漫风格，最终生成的图像也必须是逼真的主题公园。务必遵循以上规则。"
 创建星座图,nano148.jpg,** 需上传一张参考图像,"根据原图创建一幅虚构星座的图像。
- 星夜背景需逼真，即使原图是动漫风格，也必须呈现逼真的星空效果。
- 从原图中提取人物、动物或物品，并将其透明置于星空背景上。在此情况下，提取的目标应为单一主题元素（主图案），且仅放置一幅图像。
- 原图的角色设计、风格和审美需忠实保留，原图背景可忽略。
- 基于所放置的主题元素，创作一个虚构星座。该星座由约 5 到 10 颗星组成。
- 分析原图的姿势，将星座的星星合理布置在角色或物体的关键位置。
- 星座的星星需高亮显示，并用发光线条连接形成星座形态。"
 图片变手机壁纸,nano149.jpg,** 需上传一张参考图像,将图片转换为 iPhone 锁屏壁纸效果。手机时间（01:16）、日期（9 月 16 日，星期日）和状态栏详细信息（电池、信号等）叠加显示在图片上，底部显示手电筒和相机图标。原始图片经过调整，以适应加长的智能手机屏幕构图。手机放置在相同配色方案的背景上。
 制作电影海报,nano150.jpg,** 需上传一张参考图像,"分析上传的照片，检测其中的主体、情绪和氛围。
自动将照片归类到合适的电影类型（爱情、动作、悬疑、恐怖等）。

根据检测到的类型和氛围，用英文生成以下内容：
- 电影标题：具有冲击力，符合该类型风格。
- 短标语 / 宣传语：1–2 行，具有戏剧性或情感渲染。
- 底部制作信息：包括导演、制片、音乐等虚拟姓名，风格类似真实电影海报。
- 上映信息：如 “COMING SOON” 或 “In Theaters 2025”。

将上述元素叠加在照片上，呈现电影海报风格：
- 标题显著展示在中央或下三分之一位置。
- 标语置于标题上方或下方。
- 制作信息放在底部，文字较小。
- 上映信息置于底部中央。
- 最后添加主演信息，格式固定如下：
""Starring: <演员姓名>""

字体要求：粗体、戏剧性、符合电影类型。
最终效果应看起来像真实的电影院海报，所有元素与照片的情绪和氛围协调一致。"
 将X账户变成软盘,nano151.jpg,** 需上传一张X账户参考图像,把我的X账户做成90年代软盘
 将参考图像变为透明物体,nano152.jpg,** 需上传一张参考图像,使该对象透明
 鱼眼镜头视角图像,nano153.jpg,** 需上传一张参考图像,"超高细节的动漫插画，采用鱼眼镜头窥视孔视角，呈现圆形扭曲画面，如同透过门上的窥视孔观看，广角扭曲效果，边缘弯曲，圆形边框周围带有暗角。
画面中两个人将脸靠近窥视孔尝试偷看，都带着调皮顽皮的微笑，透视夸张，使五官显得更大且弯曲，面部靠近窥视孔镜头。
走廊或房间内部被镜头效果扭曲，边缘略微模糊，模拟真实窥视孔光学效果，氛围俏皮有趣。
分辨率为 8K。"
 超级英雄室内设计,nano154.jpg,无,"一个超逼真、专业的室内设计摄影作品，展示以 [超级英雄] 为灵感的现代客厅。
房间线条干净，色调以灰色、黑色和白色为主，辅以 [主题色] 点缀。主墙上有一件大型风格化的 [超级英雄] 3D 壁挂雕塑，占据视觉焦点。
房间中布置了细腻的主题元素，例如蓝图风格的装裱艺术印刷品、一盏设计灵感来源于特定元素（如盾牌或标志）的落地灯，以及摆放少量道具（如风格化头盔）的边桌。
家具现代简约，大型舒适沙发搭配低矮茶几。戏剧性的重点灯光突出主墙雕塑，同时来自窗户和灯具的温暖环境光营造出宜人的氛围。
整体风格精致优雅，微妙地致敬超级英雄，而非明显的粉丝向致敬。"
 自定义娃娃机,nano155.jpg,** 需上传一张参考图像,"生成一张图像，展示该动物被简化并变形为动漫风格的毛绒玩具（材质为短绒、触感柔软的聚酯针织布），放置在 UFO 捞娃娃机中。

两侧各有一台额外的 UFO 捞娃娃机，里面摆放着不同动物的毛绒玩具，与主图像的动物不同。

场景设定在日本游戏中心，整体明亮。UFO 捞娃娃机的上部涂有鲜艳颜色，下部涂为白色。背景为墙面，UFO 捞娃娃机背后的区域模糊处理。地面铺有地毯。

拍摄角度为正面。最重要的是，图像中绝对不要出现任何文字或标志。"
 字体logo设计,nano156.jpg,无,"创建一个 [OBJECT] 形状的文字插画，文字本身构成该形状——

字体风格：粗体且活泼，填满整个轮廓

文字沿对象的曲线和轮廓自然排列

色彩：鲜明对比且契合主题

背景：纯色，以突出主体形状

风格：矢量风格，干净整洁

分辨率高，适合海报格式

长宽比：1:1"
 游戏角色状态界面,nano157.jpg,** 需上传一张参考图像,"使用原图中的角色创建一个 RPG 游戏角色状态界面：

保留原图角色的设计和风格，但将服装更换为幻想 RPG 风格，并调整姿势以符合情境。

在画面中同时展示原图角色与状态界面并排显示。

状态界面需包含角色参数、技能、图标等信息，呈现丰富而直观的布局。

背景使用与原图风格匹配的幻想风格场景。

整体界面设计应丰富、时尚，风格类似 2025 年的高质量游戏界面。"
 文字转象形图,nano158.jpg,** 需上传一张包含文字的参考图像,将此说明图转换为象形图
 数位板上的绘画,nano159.jpg,** 需上传一张参考图像,"超逼真的手绘板屏幕图像，真实的第一人称视角，一只手握着手绘板和手绘笔。

手绘板屏幕上显示原始图像的未完成状态。

已从原始图像中提取线稿，并对部分线稿进行了上色，颜色与原图保持一致，仍为未完成上色状态。

不得为单色，约 70% 的区域已上色。

特写镜头，笔尖接触屏幕。"
 创建Line印章图片,nano160.jpg,** 需上传一张表情参考图和人物参考图像,角色表、面部表情、喜悦、愤怒、悲伤、快乐
 对童年的自己治疗,nano161.jpg,** 需上传一张人物参考图像,"超逼真极简主义治疗室场景：

墙面浅色，灰色沙发，木质咖啡桌，上面放置纸巾盒、笔记本和一杯水；简约的装饰画和落地灯。

柔和自然光照射室内。

同一人以两种年龄状态并排而坐：左侧为成年人，双手打开交谈；右侧为儿童，微微低头倾听。

两人穿相同 [服装]（颜色与款式一致）。

风格干净，具有工作室氛围，构图居中，浅景深，50mm 镜头效果。

分辨率 4K，纵向 3:4。

场景中无其他人物，无文字，无水印。"
 PIXAR风格图片,nano162.jpg,** 需上传一张人物参考图像,"生成一幅 3D 头像：

对象为上传图像中的年轻男性，面带灿烂笑容

背景干净白色

概念数字艺术风格，Pixar 风格

高质量渲染，柔和光照，纹理光滑

色彩鲜明

身体与面部比例真实，但带有卡通感

呈现工作室渲染效果"
